table,regime,p_gt,op,method,median_lower,median_upper,error_lower,error_upper,ci_lower,ci_upper
Table4,Small-N,0.5860,OPdata,BB-UnInf,0.5733,0.5733,0.0127,0.0127,0.5549,0.5917
Table4,Small-N,0.5860,OPdata,BB-Inf,0.5749,0.5749,0.0111,0.0111,0.5569,0.5924
Table4,Small-N,0.5860,OPdata,HiBayES,0.5732,0.5732,0.0128,0.0128,0.5552,0.5915
Table4,Small-N,0.5860,OPdata,HIP-LLM,0.5713,0.5751,0.0109,0.0147,0.5528,0.5937
Table4,Small-N,0.5860,OPapprox,BB-UnInf,0.5740,0.5740,0.0120,0.0120,0.5460,0.6009
Table4,Small-N,0.5860,OPapprox,BB-Inf,0.5756,0.5756,0.0104,0.0104,0.5509,0.5995
Table4,Small-N,0.5860,OPapprox,HiBayES,0.5712,0.5712,0.0148,0.0148,0.5438,0.5966
Table4,Small-N,0.5860,OPapprox,HIP-LLM,0.5698,0.5774,0.0086,0.0162,0.5421,0.6048
Table4,Small-N,0.5860,OPGT,BB-UnInf,0.5782,0.5782,0.0078,0.0078,0.5486,0.6062
Table4,Small-N,0.5860,OPGT,BB-Inf,0.5796,0.5796,0.0064,0.0064,0.5538,0.6042
Table4,Small-N,0.5860,OPGT,HiBayES,0.5750,0.5750,0.0110,0.0110,0.5459,0.6011
Table4,Small-N,0.5860,OPGT,HIP-LLM,0.5738,0.5816,0.0044,0.0122,0.5446,0.6100
