table,regime,op,method,median_lower,median_upper,error_lower,error_upper,ci_lower,ci_upper,status
Table4,Small-N,OPdata,BB-UnInf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table4,Small-N,OPdata,BB-Inf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table4,Small-N,OPdata,HiBayES,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table4,Small-N,OPdata,HIP-LLM,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table4,Small-N,OPapprox,BB-UnInf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table4,Small-N,OPapprox,BB-Inf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table4,Small-N,OPapprox,HiBayES,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table4,Small-N,OPapprox,HIP-LLM,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table4,Small-N,OPGT,BB-UnInf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table4,Small-N,OPGT,BB-Inf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table4,Small-N,OPGT,HiBayES,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table4,Small-N,OPGT,HIP-LLM,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPdata,BB-UnInf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPdata,BB-Inf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPdata,HiBayES,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPdata,HIP-LLM,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPapprox,BB-UnInf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPapprox,BB-Inf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPapprox,HiBayES,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPapprox,HIP-LLM,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPGT,BB-UnInf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPGT,BB-Inf,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPGT,HiBayES,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
Table5,Large-N,OPGT,HIP-LLM,,,,,,,BLOCKED_MISSING_SOURCE_INFORMATION
