table,op,method,difference
Table4,OPdata,BB-UnInf,not computable (see table_rq5_blocking_checklist)
Table4,OPdata,BB-Inf,not computable (see table_rq5_blocking_checklist)
Table4,OPdata,HiBayES,not computable (see table_rq5_blocking_checklist)
Table4,OPdata,HIP-LLM,not computable (see table_rq5_blocking_checklist)
Table4,OPapprox,BB-UnInf,not computable (see table_rq5_blocking_checklist)
Table4,OPapprox,BB-Inf,not computable (see table_rq5_blocking_checklist)
Table4,OPapprox,HiBayES,not computable (see table_rq5_blocking_checklist)
Table4,OPapprox,HIP-LLM,not computable (see table_rq5_blocking_checklist)
Table4,OPGT,BB-UnInf,not computable (see table_rq5_blocking_checklist)
Table4,OPGT,BB-Inf,not computable (see table_rq5_blocking_checklist)
Table4,OPGT,HiBayES,not computable (see table_rq5_blocking_checklist)
Table4,OPGT,HIP-LLM,not computable (see table_rq5_blocking_checklist)
Table5,OPdata,BB-UnInf,not computable (see table_rq5_blocking_checklist)
Table5,OPdata,BB-Inf,not computable (see table_rq5_blocking_checklist)
Table5,OPdata,HiBayES,not computable (see table_rq5_blocking_checklist)
Table5,OPdata,HIP-LLM,not computable (see table_rq5_blocking_checklist)
Table5,OPapprox,BB-UnInf,not computable (see table_rq5_blocking_checklist)
Table5,OPapprox,BB-Inf,not computable (see table_rq5_blocking_checklist)
Table5,OPapprox,HiBayES,not computable (see table_rq5_blocking_checklist)
Table5,OPapprox,HIP-LLM,not computable (see table_rq5_blocking_checklist)
Table5,OPGT,BB-UnInf,not computable (see table_rq5_blocking_checklist)
Table5,OPGT,BB-Inf,not computable (see table_rq5_blocking_checklist)
Table5,OPGT,HiBayES,not computable (see table_rq5_blocking_checklist)
Table5,OPGT,HIP-LLM,not computable (see table_rq5_blocking_checklist)
