table,regime,p_gt,op,method,median_lower,median_upper,error_lower,error_upper,ci_lower,ci_upper
Table4,Small-N,0.586,OPdata,BB-UnInf,0.5733,0.5733,0.0127,0.0127,0.5549,0.5917
Table4,Small-N,0.586,OPdata,BB-Inf,0.5749,0.5749,0.0111,0.0111,0.5569,0.5924
Table4,Small-N,0.586,OPdata,HiBayES,0.5732,0.5732,0.0128,0.0128,0.5552,0.5915
Table4,Small-N,0.586,OPdata,HIP-LLM,0.5713,0.5751,0.0109,0.0147,0.5528,0.5937
Table4,Small-N,0.586,OPapprox,BB-UnInf,0.574,0.574,0.012,0.012,0.546,0.6009
Table4,Small-N,0.586,OPapprox,BB-Inf,0.5756,0.5756,0.0104,0.0104,0.5509,0.5995
Table4,Small-N,0.586,OPapprox,HiBayES,0.5712,0.5712,0.0148,0.0148,0.5438,0.5966
Table4,Small-N,0.586,OPapprox,HIP-LLM,0.5698,0.5774,0.0086,0.0162,0.5421,0.6048
Table4,Small-N,0.586,OPGT,BB-UnInf,0.5782,0.5782,0.0078,0.0078,0.5486,0.6062
Table4,Small-N,0.586,OPGT,BB-Inf,0.5796,0.5796,0.0064,0.0064,0.5538,0.6042
Table4,Small-N,0.586,OPGT,HiBayES,0.575,0.575,0.011,0.011,0.5459,0.6011
Table4,Small-N,0.586,OPGT,HIP-LLM,0.5738,0.5816,0.0044,0.0122,0.5446,0.61
Table5,Large-N,0.586,OPdata,BB-UnInf,0.5907,0.5907,0.0047,0.0047,0.5849,0.5965
Table5,Large-N,0.586,OPdata,BB-Inf,0.5908,0.5908,0.0048,0.0048,0.5849,0.5965
Table5,Large-N,0.586,OPdata,HiBayES,0.5909,0.5909,0.0049,0.0049,0.5846,0.5969
Table5,Large-N,0.586,OPdata,HIP-LLM,0.586,0.5866,0.0,0.0006,0.5846,0.5968
Table5,Large-N,0.586,OPapprox,BB-UnInf,0.5887,0.5887,0.0027,0.0027,0.5801,0.5973
Table5,Large-N,0.586,OPapprox,BB-Inf,0.5885,0.5885,0.0025,0.0025,0.5799,0.597
Table5,Large-N,0.586,OPapprox,HiBayES,0.5887,0.5887,0.0027,0.0027,0.58,0.598
Table5,Large-N,0.586,OPapprox,HIP-LLM,0.5752,0.5764,0.0096,0.0108,0.5794,0.5978
Table5,Large-N,0.586,OPGT,BB-UnInf,0.5928,0.5928,0.0068,0.0068,0.5836,0.6017
Table5,Large-N,0.586,OPGT,BB-Inf,0.5926,0.5926,0.0066,0.0066,0.5837,0.6015
Table5,Large-N,0.586,OPGT,HiBayES,0.5929,0.5929,0.0069,0.0069,0.5838,0.6025
Table5,Large-N,0.586,OPGT,HIP-LLM,0.5784,0.5797,0.0063,0.0076,0.5832,0.6024
