model,domain,subdomain,theta_hat_table3,theta_hat_repo,abs_diff,rel_diff,match
GPT-4o,D1,DS-1000,0.42,0.49,0.07,0.14285714285714288,False
GPT-4o,D1,MBPP,0.471,0.479,0.008000000000000007,0.01670146137787058,False
GPT-4o,D2,BoolQ,0.909,0.91,0.0010000000000000009,0.0010989010989010998,False
GPT-4o,D2,RACE-H,0.552,0.92,0.368,0.39999999999999997,False
GPT-4o-mini,D1,DS-1000,0.49,0.44,0.04999999999999999,0.1136363636363636,False
GPT-4o-mini,D1,MBPP,0.44,0.447,0.007000000000000006,0.015659955257270708,False
GPT-4o-mini,D2,BoolQ,0.89,0.892,0.0020000000000000018,0.002242152466367715,False
GPT-4o-mini,D2,RACE-H,0.82,0.873,0.05300000000000005,0.06071019473081334,False
Haiku 3.5,D1,DS-1000,0.483,0.483,0.0,0.0,True
Haiku 3.5,D1,MBPP,0.447,0.447,0.0,0.0,True
Haiku 3.5,D2,BoolQ,0.883,0.883,0.0,0.0,True
Haiku 3.5,D2,RACE-H,0.859,0.859,0.0,0.0,True
Sonnet 4.5,D1,DS-1000,0.493,0.495,0.0020000000000000018,0.004040404040404044,False
Sonnet 4.5,D1,MBPP,0.45,0.486,0.035999999999999976,0.07407407407407403,False
Sonnet 4.5,D2,BoolQ,0.9,0.915,0.015000000000000013,0.016393442622950834,False
Sonnet 4.5,D2,RACE-H,0.84,0.946,0.10599999999999998,0.1120507399577167,False
