check,passed,detail
Table5 / OPdata / BB-UnInf: median within its own 90% interval,True,"median (0.5907, 0.5907) vs interval [0.5849, 0.5965]"
Table5 / OPdata / BB-Inf: median within its own 90% interval,True,"median (0.5908, 0.5908) vs interval [0.5849, 0.5965]"
Table5 / OPdata / HiBayES: median within its own 90% interval,True,"median (0.5909, 0.5909) vs interval [0.5846, 0.5969]"
Table5 / OPdata / HIP-LLM: median within its own 90% interval,True,"median (0.586, 0.5866) vs interval [0.5846, 0.5968]"
Table5 / OPapprox / BB-UnInf: median within its own 90% interval,True,"median (0.5887, 0.5887) vs interval [0.5801, 0.5973]"
Table5 / OPapprox / BB-Inf: median within its own 90% interval,True,"median (0.5885, 0.5885) vs interval [0.5799, 0.597]"
Table5 / OPapprox / HiBayES: median within its own 90% interval,True,"median (0.5887, 0.5887) vs interval [0.58, 0.598]"
Table5 / OPapprox / HIP-LLM: median within its own 90% interval,False,"median (0.5752, 0.5764) vs interval [0.5794, 0.5978]  <-- IMPOSSIBLE for a single posterior"
Table5 / OPGT / BB-UnInf: median within its own 90% interval,True,"median (0.5928, 0.5928) vs interval [0.5836, 0.6017]"
Table5 / OPGT / BB-Inf: median within its own 90% interval,True,"median (0.5926, 0.5926) vs interval [0.5837, 0.6015]"
Table5 / OPGT / HiBayES: median within its own 90% interval,True,"median (0.5929, 0.5929) vs interval [0.5838, 0.6025]"
Table5 / OPGT / HIP-LLM: median within its own 90% interval,False,"median (0.5784, 0.5797) vs interval [0.5832, 0.6024]  <-- IMPOSSIBLE for a single posterior"
