model,domain,subdomain,theta_hat_published,N,C_effective,C_over_N,rounding_shift
GPT-4o,D1,MBPP,0.479,80,38,0.475,-0.0040000000000000036
GPT-4o,D1,DS-1000,0.49,80,39,0.4875,-0.0025000000000000022
GPT-4o,D2,BoolQ,0.91,80,73,0.9125,0.0024999999999999467
GPT-4o,D2,RACE-H,0.92,80,74,0.925,0.0050000000000000044
GPT-4o-mini,D1,MBPP,0.447,80,36,0.45,0.0030000000000000027
GPT-4o-mini,D1,DS-1000,0.44,80,35,0.4375,-0.0025000000000000022
GPT-4o-mini,D2,BoolQ,0.892,80,71,0.8875,-0.0045000000000000595
GPT-4o-mini,D2,RACE-H,0.873,80,70,0.875,0.0020000000000000018
Sonnet 4.5,D1,MBPP,0.486,80,39,0.4875,0.0015000000000000013
Sonnet 4.5,D1,DS-1000,0.495,80,40,0.5,0.0050000000000000044
Sonnet 4.5,D2,BoolQ,0.915,80,73,0.9125,-0.0025000000000000577
Sonnet 4.5,D2,RACE-H,0.946,80,76,0.95,0.0040000000000000036
Haiku 3.5,D1,MBPP,0.447,80,36,0.45,0.0030000000000000027
Haiku 3.5,D1,DS-1000,0.483,80,39,0.4875,0.004500000000000004
Haiku 3.5,D2,BoolQ,0.883,80,71,0.8875,0.0044999999999999485
Haiku 3.5,D2,RACE-H,0.859,80,69,0.8625,0.0035000000000000586
