level,model,median_lower,median_upper,q05_lower,q05_upper,q95_lower,q95_upper,envelope_area,max_cdf_separation,n_configs
D1,GPT-4o,0.4692158119764724,0.49726424323275087,0.39928156546029797,0.42581618551346434,0.5435996250098803,0.5735498650730302,0.027706666666666668,0.242,160
D2,GPT-4o,0.8914527084732595,0.9204475826509642,0.8469971645702086,0.8815149485148759,0.9286985971563481,0.9515952840225764,0.02927166666666669,0.4713333333333334,160
D1,GPT-4o-mini,0.4283202721138023,0.45402632925107334,0.3573467528401459,0.3807922143797137,0.49926614299977023,0.527490975808792,0.025666666666666667,0.22600000000000003,160
D2,GPT-4o-mini,0.8540566589589251,0.882622324063167,0.805774748867905,0.8375127615995497,0.8947595642904194,0.9214720246034375,0.02919166666666667,0.42066666666666674,160
D1,Sonnet 4.5,0.48127949803880593,0.5099332012320725,0.41003004839457863,0.436002227305728,0.5534679629324873,0.583821807211716,0.029116666666666673,0.2686666666666667,160
D2,Sonnet 4.5,0.9045011804391909,0.9336478463680009,0.862417000351723,0.8965239756658896,0.9392567072092959,0.960556710245787,0.028626666666666682,0.48800000000000004,160
D1,Haiku 3.5,0.46611613815568065,0.4927855793981829,0.39385834549616855,0.42007205180700613,0.5375143812382271,0.5656611904080198,0.026735000000000002,0.24233333333333335,160
D2,Haiku 3.5,0.8476232534006021,0.8760250443312398,0.7940768942211143,0.829734029799028,0.8904374577714923,0.9152431787429605,0.029371666666666664,0.402,160
LLM,GPT-4o,0.829849996220529,0.8557217044035682,0.7905863891387219,0.8212967035649159,0.8630854311253159,0.8852899712811063,0.026201666666666644,0.462,512
LLM,GPT-4o-mini,0.7918186280612771,0.817172538021771,0.7494561958277711,0.7776481412766245,0.828405159929319,0.8514970425695739,0.025681666666666665,0.41400000000000003,512
LLM,Sonnet 4.5,0.8432169704057333,0.8695143599645643,0.8054744205154893,0.8366141369836418,0.8738506363746958,0.8953317542508659,0.026163333333333323,0.48566666666666664,512
LLM,Haiku 3.5,0.7921839778341733,0.817878791920934,0.7463586237099602,0.7779093027486533,0.8296536315510034,0.8528773409081597,0.02634333333333333,0.40233333333333327,512
