subdomain,model,median_lower,median_upper,q05_lower,q05_upper,q95_lower,q95_upper,envelope_area,max_cdf_separation,n_configs
MBPP,GPT-4o,0.46193293573827604,0.48893227750565393,0.37653346383710823,0.3992789302554237,0.5517868318812109,0.579098460560509,0.026433333333333333,0.19600000000000006,160
MBPP,GPT-4o-mini,0.4366399205780104,0.463635353205454,0.3499192306745233,0.37664368211549176,0.5239364629278063,0.5542540288531781,0.028205,0.19633333333333336,160
MBPP,Sonnet 4.5,0.4745458522804993,0.500854742043626,0.38671769484532215,0.4100599113192375,0.5612260533794945,0.5883652160342565,0.02648666666666667,0.18333333333333335,160
MBPP,Haiku 3.5,0.439544377905845,0.46635410992962245,0.35155426254480465,0.3792682704148359,0.5244964706310485,0.5583218670335995,0.028826666666666667,0.2013333333333333,160
DS-1000,GPT-4o,0.4725377375751196,0.49943448734813495,0.3873046929341953,0.41238479899925656,0.5573286595459239,0.5925062594250552,0.02834,0.2033333333333333,160
DS-1000,GPT-4o-mini,0.4258268367774741,0.45171526719404825,0.3389004989504157,0.3606827767392946,0.5121932966467876,0.5432869486620753,0.025698333333333333,0.1956666666666667,160
DS-1000,Sonnet 4.5,0.48282577381735026,0.5125712791252124,0.39618832968276363,0.42251952585614605,0.5694471897627194,0.6025949912029128,0.03028166666666667,0.2303333333333334,160
DS-1000,Haiku 3.5,0.4730821280590815,0.500941882403305,0.38521588691230796,0.4112554713772437,0.557779713941309,0.588718789292444,0.027395,0.20900000000000002,160
BoolQ,GPT-4o,0.8876198447582568,0.9160893767231018,0.8228529949868117,0.8576750084430559,0.9350535932407863,0.9583775786845871,0.028955000000000012,0.3423333333333334,160
BoolQ,GPT-4o-mini,0.8598294827612859,0.8912925957729252,0.7944305047288208,0.8259147028043778,0.9146077121427311,0.9400938645505211,0.030293333333333342,0.3356666666666666,160
BoolQ,Sonnet 4.5,0.8885566433935715,0.9164324909178828,0.825679115414769,0.8571730028082292,0.9367285384809797,0.9591768957640356,0.027648333333333344,0.336,160
BoolQ,Haiku 3.5,0.8600152570939186,0.8911622698562148,0.791251240131301,0.8273155118658261,0.9136068890943878,0.9402833253123961,0.031221666666666675,0.335,160
RACE-H,GPT-4o,0.8970736220756488,0.9288699041288594,0.8371026213839786,0.8729634865608805,0.9449487826742692,0.9672795748829315,0.030748333333333343,0.397,160
RACE-H,GPT-4o-mini,0.8495815827997268,0.8781313509567528,0.7803453600840699,0.8130746822383019,0.9053252181959544,0.9303230577932683,0.02919,0.302,160
RACE-H,Sonnet 4.5,0.9226742600418243,0.9532649408455418,0.8653797109156584,0.9051667247027314,0.9631062670468796,0.9829303862881688,0.030773333333333323,0.4416666666666666,160
RACE-H,Haiku 3.5,0.8372852048666768,0.8664239185512586,0.763994001350252,0.7980925823882822,0.8953050794063518,0.9208228526120892,0.029206666666666665,0.2876666666666667,160
