hyperparameter,interval,median_lower,median_upper,q05_lower,q05_upper,q95_lower,q95_upper,envelope_area,max_cdf_separation,n_configs
a,"[1, 12]",0.829849996220529,0.8557217044035682,0.7905863891387219,0.8212967035649159,0.8630854311253159,0.8852899712811063,0.026201666666666644,0.462,512
a,"[4, 12]",0.8311451197646933,0.8559963531823525,0.7920523625235163,0.8211947018777993,0.8650747431054794,0.8852803063631943,0.024809999999999978,0.45166666666666666,512
a,"[8, 12]",0.8323927915599763,0.8561602192331434,0.7940053028841494,0.8215216881045457,0.8663142999827077,0.8853364597299939,0.023821666666666644,0.426,512
b,"[1, 12]",0.829849996220529,0.8557217044035682,0.7905863891387219,0.8212967035649159,0.8630854311253159,0.8852899712811063,0.026201666666666644,0.462,512
b,"[4, 12]",0.8286928551853057,0.8553386287483311,0.7895030472563276,0.8207551932030196,0.8632751579400257,0.8849105135549364,0.026374999999999975,0.47200000000000003,512
b,"[8, 12]",0.8283289147061949,0.8553407501499737,0.7888852873057618,0.8208359232885889,0.8620926385212907,0.8846949575069559,0.027309999999999973,0.479,512
c,"[1, 25]",0.829849996220529,0.8557217044035682,0.7905863891387219,0.8212967035649159,0.8630854311253159,0.8852899712811063,0.026201666666666644,0.462,512
c,"[9, 25]",0.8272883351145599,0.8555933734775866,0.7886450497729237,0.8208004679908678,0.8617846256502202,0.8845049248479815,0.02773833333333331,0.498,512
c,"[18, 25]",0.8262620270593317,0.8554469447284473,0.7877985075486529,0.820474617991365,0.8611700931307218,0.8840459875049416,0.028628333333333304,0.502,512
d,"[1, 25]",0.829849996220529,0.8557217044035682,0.7905863891387219,0.8212967035649159,0.8630854311253159,0.8852899712811063,0.026201666666666644,0.462,512
d,"[9, 25]",0.8438883493740517,0.856045659746451,0.8061842761778659,0.8216996196192032,0.8750864155560742,0.885360945838974,0.012414999999999992,0.23799999999999993,512
d,"[18, 25]",0.8475796844032528,0.8563944999242047,0.809721277943267,0.8220548402893727,0.8770967659531752,0.8853316472245395,0.009279999999999997,0.17566666666666675,512
