source,model,omega_race_h,median_lower,median_upper,q05_lower,q05_upper,q95_lower,q95_upper,envelope_area,max_cdf_separation,n_configs
paper_table3,Sonnet 4.5,0.1,0.8641823761328604,0.8964448992523568,0.8023897702457983,0.8408308060796388,0.9127280439852672,0.9385728743874034,0.032466666666666685,0.3856666666666667,160
paper_table3,Sonnet 4.5,0.517,0.8407470186301511,0.8696066045797696,0.7903051152145728,0.8237786176625544,0.8850945774412694,0.9094197072469795,0.028873333333333324,0.39266666666666666,160
paper_table3,Sonnet 4.5,0.9,0.8203150700023777,0.846864357079125,0.7538693330082926,0.7813416468797753,0.8779088859784526,0.9014906504421539,0.026156666666666658,0.2723333333333333,160
paper_table3,GPT-4o,0.1,0.8391676139748263,0.8794074164607548,0.7756416940797936,0.8271549352231069,0.887435569263349,0.9183894150499539,0.04043666666666666,0.4853333333333333,160
paper_table3,GPT-4o,0.517,0.7060539849448558,0.7302004458504223,0.6495809983609236,0.6764930798120681,0.7594887745221195,0.7795796759570015,0.023861666666666656,0.291,160
paper_table3,GPT-4o,0.9,0.5775519828980057,0.6019783211290276,0.4968954841006542,0.522099352690817,0.6544118698349357,0.6781623219282213,0.024546666666666665,0.201,160
official_figure_numerics,Sonnet 4.5,0.1,0.8916950856414987,0.9196892071091455,0.8347951831102279,0.8661290710862757,0.9358196026480878,0.9578855929921619,0.02784166666666668,0.366,160
official_figure_numerics,Sonnet 4.5,0.517,0.9045011804391909,0.9336478463680009,0.862417000351723,0.8965239756658896,0.9392567072092959,0.960556710245787,0.028626666666666682,0.48800000000000004,160
official_figure_numerics,Sonnet 4.5,0.9,0.9190610633643507,0.9489012260470139,0.8662856653548019,0.9051957666065815,0.9562768502425182,0.9759645249951394,0.030168333333333328,0.466,160
official_figure_numerics,GPT-4o,0.1,0.8884066793041738,0.9168547405969759,0.8293499741924095,0.864550680794989,0.931815377872234,0.9551323998626043,0.029061666666666684,0.3713333333333333,160
official_figure_numerics,GPT-4o,0.517,0.8914527084732595,0.9204475826509642,0.8469971645702086,0.8815149485148759,0.9286985971563481,0.9515952840225764,0.02927166666666669,0.4713333333333334,160
official_figure_numerics,GPT-4o,0.9,0.8958065448704498,0.92726725058228,0.8405579779708791,0.8768196986987636,0.9399881779457224,0.9623807799775876,0.030420000000000013,0.42,160
