model,n_F,E[R_L] lower,E[R_L] upper,envelope width
GPT-4o,1,0.8288816079600116,0.8546710061051593,0.02578939814514769
GPT-4o,2,0.687543278447517,0.7308387617819115,0.04329548333439459
GPT-4o,5,0.39408018931270566,0.45836323439536925,0.06428304508266358
GPT-4o,10,0.15803942959758766,0.21271646269113897,0.05467703309355132
GPT-4o,20,0.026704083610254628,0.04744138880884312,0.02073730519858849
GPT-4o,60,3.8259160796906424e-05,0.000174639956951146,0.00013638079615423956
GPT-4o-mini,1,0.7908610228041616,0.8158808075694881,0.025019784765326514
GPT-4o-mini,2,0.6260438672895244,0.666173200925757,0.04012933363623261
GPT-4o-mini,5,0.3122505337992615,0.3642823207919648,0.05203178699270333
GPT-4o-mini,10,0.09970261635461214,0.13517358856230716,0.03547097220769502
GPT-4o-mini,20,0.010821997398862722,0.019598904587562426,0.008776907188699704
GPT-4o-mini,60,3.022339459182905e-06,1.5694417379244694e-05,1.2672077920061789e-05
Sonnet 4.5,1,0.842266827713328,0.868243310176908,0.025976482463580086
Sonnet 4.5,2,0.7098633900846547,0.7541757486491512,0.044312358564496446
Sonnet 4.5,5,0.42655809436462444,0.49554801947270244,0.068989925108078
Sonnet 4.5,10,0.184757548451309,0.24816210439921854,0.06340455594790953
Sonnet 4.5,20,0.03619501104659998,0.06410716638290488,0.0279121553363049
Sonnet 4.5,60,8.58423314989775e-05,0.00040092542964753207,0.00031508309814855457
Haiku 3.5,1,0.7908241586873647,0.8164618205827804,0.02563766189541572
Haiku 3.5,2,0.626033145521119,0.6671412065113081,0.041108060990189155
Haiku 3.5,5,0.3124082807291027,0.36567775150775195,0.05326947077864924
Haiku 3.5,10,0.0999730932670526,0.13628547316832965,0.036312379901277045
Haiku 3.5,20,0.010948233246090122,0.01995745064403992,0.009009217397949798
Haiku 3.5,60,3.395141697961369e-06,1.7076134409776285e-05,1.3680992711814916e-05
